Rank,Symbol,Market Cap,Price,Date
7,NVC,"$1,162,266.30",$4.25,2013-04-28
1,BTC,"$1,488,566,971.96",$134.21,2013-04-28
2,LTC,"$74,637,021.57",$4.35,2013-04-28
6,DVC,"$1,424,087.30",$0.0003261,2013-04-28
4,NMC,"$5,995,997.19",$1.11,2013-04-28
5,TRC,"$1,503,099.40",$0.6469,2013-04-28
3,PPC,"$7,250,186.65",$0.3865,2013-04-28
1,BTC,"$1,288,693,216.22",$115.91,2013-05-05
2,LTC,"$62,298,217.32",$3.59,2013-05-05
4,PPC,"$5,718,446.46",$0.3037,2013-05-05
5,FTC,"$2,017,436.23",$0.313,2013-05-05
3,NMC,"$6,290,543.05",$1.15,2013-05-05
7,TRC,"$1,367,162.39",$0.568,2013-05-05
8,DVC,"$1,052,081.53",$0.0002388,2013-05-05
9,NVC,"$1,015,804.46",$3.69,2013-05-05
10,MNC,"$118,657.23",$0.1159,2013-05-05
6,FRC,"$1,627,438.51",$0.08114,2013-05-05
5,NVC,"$984,531.38",$3.52,2013-05-12
1,BTC,"$1,281,982,625.00",$115.00,2013-05-12
2,LTC,"$57,513,319.09",$3.27,2013-05-12
3,NMC,"$4,674,413.40",$0.8464,2013-05-12
4,PPC,"$4,585,556.07",$0.2427,2013-05-12
6,DVC,"$983,447.61",$0.0002208,2013-05-12
10,CNC,"$489,370.40",$0.0966,2013-05-12
8,FTC,"$820,221.45",$0.1253,2013-05-12
9,FRC,"$748,241.76",$0.03596,2013-05-12
11,MNC,"$247,203.65",$0.237,2013-05-12
12,BQC,"$156,410.47",$0.0092,2013-05-12
13,IXC,"$147,029.97",$0.01162,2013-05-12
14,BTB,"$82,905.80",$28.86,2013-05-12
7,TRC,"$954,262.84",$0.3807,2013-05-12
6,TRC,"$934,991.48",$0.3587,2013-05-19
2,LTC,"$58,760,675.05",$3.30,2013-05-19
3,NMC,"$4,789,082.16",$0.8576,2013-05-19
4,PPC,"$3,934,412.36",$0.2074,2013-05-19
5,NVC,"$1,020,004.70",$3.62,2013-05-19
7,DVC,"$906,212.77",$0.0002013,2013-05-19
1,BTC,"$1,363,205,019.90",$121.99,2013-05-19
9,FRC,"$711,435.19",$0.03416,2013-05-19
10,CNC,"$485,058.81",$0.09515,2013-05-19
11,MNC,"$207,096.26",$0.1952,2013-05-19
12,IXC,"$154,515.88",$0.01221,2013-05-19
13,BTB,"$128,439.08",$42.70,2013-05-19
14,BQC,"$123,231.29",$0.007075,2013-05-19
8,FTC,"$833,818.95",$0.1269,2013-05-19
1,BTC,"$1,495,292,967.14",$133.48,2013-05-26
2,LTC,"$58,458,016.95",$3.25,2013-05-26
3,NMC,"$5,251,485.27",$0.9304,2013-05-26
4,PPC,"$3,612,498.62",$0.1895,2013-05-26
5,NVC,"$1,225,595.40",$4.31,2013-05-26
6,DVC,"$915,607.00",$0.0002016,2013-05-26
7,TRC,"$842,448.90",$0.3123,2013-05-26
8,FRC,"$687,220.00",$0.0327,2013-05-26
9,FTC,"$654,331.38",$0.09878,2013-05-26
10,CNC,"$374,915.45",$0.07341,2013-05-26
11,MNC,"$130,393.11",$0.1218,2013-05-26
12,IXC,"$127,367.86",$0.01007,2013-05-26
13,BQC,"$114,258.29",$0.006407,2013-05-26
14,WDC,"$61,369.21",$0.02565,2013-05-26
15,BTB,"$54,030.08",$17.36,2013-05-26
1,BTC,"$1,373,839,383.45",$122.29,2013-06-02
2,LTC,"$49,625,738.78",$2.73,2013-06-02
3,NMC,"$4,038,794.14",$0.7093,2013-06-02
4,PPC,"$2,899,779.44",$0.1516,2013-06-02
5,NVC,"$1,117,980.01",$3.90,2013-06-02
6,DVC,"$674,189.93",$0.0001468,2013-06-02
13,BQC,"$76,751.02",$0.004207,2013-06-02
8,FTC,"$545,794.55",$0.08194,2013-06-02
9,FRC,"$417,750.51",$0.01981,2013-06-02
10,CNC,"$287,451.99",$0.05625,2013-06-02
11,IXC,"$86,656.55",$0.006848,2013-06-02
12,MNC,"$78,887.29",$0.07338,2013-06-02
14,BTB,"$52,295.84",$15.91,2013-06-02
7,TRC,"$662,838.49",$0.2385,2013-06-02
8,DVC,"$538,224.93",$0.000116,2013-06-09
1,BTC,"$1,126,642,500.00",$100.00,2013-06-09
2,LTC,"$43,858,288.59",$2.38,2013-06-09
3,NMC,"$3,311,798.26",$0.576,2013-06-09
4,PPC,"$2,267,778.06",$0.118,2013-06-09
5,NVC,"$953,097.98",$3.31,2013-06-09
6,FTC,"$852,774.31",$0.126,2013-06-09
7,TRC,"$556,761.98",$0.195,2013-06-09
9,FRC,"$344,283.64",$0.01613,2013-06-09
14,WDC,"$60,438.16",$0.01287,2013-06-09
11,BQC,"$98,890.42",$0.0053,2013-06-09
12,YAC,"$98,315.19",$0.0302,2013-06-09
13,DGC,"$70,346.91",$0.0392,2013-06-09
20,ELC,$768.13,$0.036,2013-06-09
15,BTB,"$45,586.21",$13.10,2013-06-09
16,MNC,"$44,972.33",$0.0411,2013-06-09
17,MEM,"$14,865.88",$0.001715,2013-06-09
18,AMC,"$4,150.01",$0.004178,2013-06-09
19,FRK,"$2,772.80",$0.15,2013-06-09
10,CNC,"$260,701.49",$0.051,2013-06-09
9,FRC,"$386,099.25",$0.01791,2013-06-16
8,DVC,"$411,176.50",$0.00008774,2013-06-16
7,TRC,"$468,510.18",$0.1602,2013-06-16
6,FTC,"$817,909.00",$0.1085,2013-06-16
1,BTC,"$1,124,306,468.29",$99.51,2013-06-16
4,PPC,"$2,131,363.14",$0.1105,2013-06-16
3,NMC,"$2,313,381.58",$0.3951,2013-06-16
2,LTC,"$39,617,176.03",$2.13,2013-06-16
10,CNC,"$216,136.99",$0.04179,2013-06-16
5,NVC,"$943,738.73",$3.25,2013-06-16
12,DGC,"$71,553.91",$0.02987,2013-06-16
11,BQC,"$83,118.07",$0.004359,2013-06-16
21,AMC,"$2,148.21",$0.002115,2013-06-16
14,WDC,"$56,980.47",$0.009473,2013-06-16
15,MNC,"$37,617.32",$0.03393,2013-06-16
16,BTB,"$21,486.74",$5.97,2013-06-16
17,GLC,"$19,834.44",$0.001462,2013-06-16
18,MEM,"$8,474.66",$0.0008163,2013-06-16
19,LKY,"$7,949.17",$0.002512,2013-06-16
20,FRK,"$4,284.35",$0.1939,2013-06-16
22,JKC,"$1,958.27",$0.0003805,2013-06-16
23,NBL,"$1,867.33",$0.002984,2013-06-16
13,YAC,"$70,774.48",$0.0199,2013-06-16
24,ELC,"$1,392.67",$0.06468,2013-06-16
9,FRC,"$274,484.38",$0.01259,2013-06-23
11,DGC,"$84,169.38",$0.02819,2013-06-23
8,DVC,"$407,340.96",$0.00008608,2013-06-23
10,CNC,"$135,261.23",$0.02582,2013-06-23
7,TRC,"$416,782.31",$0.1399,2013-06-23
1,BTC,"$1,218,626,731.94",$107.60,2013-06-23
5,NVC,"$1,042,586.72",$3.50,2013-06-23
4,PPC,"$2,358,403.70",$0.1216,2013-06-23
3,NMC,"$3,329,217.96",$0.5627,2013-06-23
2,LTC,"$58,663,951.67",$3.12,2013-06-23
6,FTC,"$799,217.02",$0.09899,2013-06-23
12,YAC,"$82,023.91",$0.02163,2013-06-23
24,AMC,"$2,421.87",$0.002282,2013-06-23
14,IXC,"$68,433.51",$0.00495,2013-06-23
13,BQC,"$79,853.09",$0.0041,2013-06-23
26,ELC,"$1,878.35",$0.08673,2013-06-23
25,JKC,"$2,081.27",$0.0003797,2013-06-23
23,NBL,"$3,232.05",$0.004305,2013-06-23
21,LKY,"$11,294.04",$0.002799,2013-06-23
22,FRK,"$4,335.78",$0.1668,2013-06-23
19,MEM,"$13,338.13",$0.00109,2013-06-23
18,GLC,"$18,141.18",$0.001188,2013-06-23
17,MNC,"$24,316.38",$0.02153,2013-06-23
16,BTB,"$24,643.61",$6.56,2013-06-23
15,WDC,"$67,830.58",$0.009766,2013-06-23
20,BTE,"$11,370.84",$0.01238,2013-06-23
7,TRC,"$395,910.40",$0.1304,2013-06-30
